time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:23.120,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:23.122,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,47,S0,A,270,3,1,
8/11/15 10:36:24.865,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:23.229,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,49,S0,A,270,3,1,
8/11/15 10:21:23.259,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:23.270,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:23.271,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:23.660,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:23.660,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:23.700,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:23.700,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:23.810,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:23.820,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:23.849,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:23.891,192.168.225.67,2,0,ABA1ABA1ABA1ABA1ABA10001,91F5,43,S0,A,270,2,1,
8/11/15 10:36:25.595,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:24.240,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,47,S0,A,270,3,1,
8/11/15 10:21:24.240,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:24.269,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:24.279,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:24.390,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:24.391,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:24.400,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:24.430,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,47,S0,A,270,3,1,
8/11/15 10:21:24.431,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:24.828,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,50,S0,A,270,3,1,
8/11/15 10:21:24.839,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,42,S0,A,270,3,1,
8/11/15 10:21:24.840,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:24.870,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:24.879,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:24.890,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:25.000,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,51,S0,A,270,3,1,
8/11/15 10:21:25.000,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:25.031,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:25.031,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:25.430,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
